Program,Routine,Exercise Name,Level,Range,Duration (min),Target,Tags
Program A: Pro Foundations,Routine 1: Dink Mastery,Target Dinks,1,2.5–3.5,10,20 dinks into box,"Dinks, Spin Control"
Program A: Pro Foundations,Routine 1: Dink Mastery,Dink & Move,2,3.0–4.0,10,10 lateral dinks each side,"Dinks, Footwork, Positioning"
Program A: Pro Foundations,Routine 1: Dink Mastery,Endurance Rallies,1,2.0–8.0,10,50-ball rally at NVZ,"Conditioning, Dinks"
Program A: Pro Foundations,Routine 2: Serve & Return Precision,Spin Serves,2,3.5–5.0,10,20 successful spin serves,"Serves, Spin Control"
Program A: Pro Foundations,Routine 2: Serve & Return Precision,Return Deep & Directed,2,3.0–5.0,10,20 deep returns to backhand/middle,"Returns, Slices, Spin Control, Positioning"
Program A: Pro Foundations,Routine 2: Serve & Return Precision,Basic 3rd Shot Drop,1,2.0–3.0,10,15 clean drops from baseline,"Drop Shots, 3rd Shot, Transitions"
Program B: Transition & Resets,Routine 3: Transition Zone Clinic,Transition Zone Reset,2,4.0–5.0,15,15 resets in a row,"Resets, Transitions"
Program B: Transition & Resets,Routine 3: Transition Zone Clinic,Pressure Drops,3,5.0–7.0,10,10 clean resets under pace,"Drop Shots, Resets, 3rd Shot"
Program B: Transition & Resets,Routine 3: Transition Zone Clinic,Shadow Footwork,1,2.0–8.0,5,"5 flawless sequences (split-step, recovery)","Footwork, Positioning, Conditioning"
Program B: Transition & Resets,Routine 4: Resets Under Fire,Drive vs. Block,2,3.0–4.0,10,10 controlled blocks per side,"Drives, Volleys/Resets, Resets"
Program B: Transition & Resets,Routine 4: Resets Under Fire,Speed Up & Reset,3,5.0–7.0,10,10 neutralizations after speed-ups,"Volleys/Resets, Flicks / Speed-ups, Resets"
Program B: Transition & Resets,Routine 4: Resets Under Fire,Multiball Feeding,3,5.0–8.0,10,20 consecutive balls controlled,"Conditioning, Volleys/Resets, Defensive Saves"
Program C: Competitive Edge,Routine 5: Third Shot Domination,Drop Consistency,2,3.0–4.0,10,20 clean 3rd shots,"Drop Shots, 3rd Shot"
Program C: Competitive Edge,Routine 5: Third Shot Domination,Serve + 3rd Shot Combo,3,4.0–6.0,15,10 sequences (serve→3rd shot→NVZ),"Serves, 3rd Shot, Drop Shots, Drives, Patterns"
