Exercise Name,Level,Range,Duration (min),Target,Tags,Routine,Program
Basic Dink Rally,Novice,2.0–3.0,5–10,30 dinks,"Dinking, Positioning, Footwork",Routine 1: Dinks & Serves,Program A: Foundations
Target Dinks,Novice,2.5–3.5,5–10,20 dinks,"Dinking, Spin Control",Routine 1: Dinks & Serves,Program A: Foundations
Basic Serve Placement,Novice,2.0–3.0,5–10,20 serves,"Serves, Spin Control, Positioning",Routine 1: Dinks & Serves,Program A: Foundations
Volley Basics,Novice,2.0–3.0,5–10,20 volleys,"Volleys, Positioning",Routine 1: Dinks & Serves,Program A: Foundations
Dink & Move,Intermediate,3.0–4.0,5–10,10 each side,"Dinking, Footwork, Positioning",Routine 2: Footwork & Returns,Program A: Foundations
Return Deep & Directed,Intermediate,3.0–5.0,10,20 returns,"Returns, Slices, Spin Control",Routine 2: Footwork & Returns,Program A: Foundations
Drop-Advance,Intermediate,3.5–4.5,10,10 sequences,"Drops, 3rd Shot, Transitions",Routine 2: Footwork & Returns,Program A: Foundations
Block Volleys,Intermediate,3.0–4.0,10,10 blocks,"Volleys, Blocks, Resets",Routine 2: Footwork & Returns,Program A: Foundations
Transition Zone Reset,Intermediate,4.0–5.0,10,15 resets,"Resets, Transitions",Routine 3: Resets & Transitions,Program B: Core Development
Drive vs. Block,Intermediate,3.0–4.0,10,10 blocks,"Drives, Volleys, Resets",Routine 3: Resets & Transitions,Program B: Core Development
Pressure Drops,Advanced,5.0–7.0,10,10 resets,"Drops, Resets, 3rd Shot",Routine 3: Resets & Transitions,Program B: Core Development
Speed Up & Reset,Advanced,5.0–7.0,10,10 resets,"Volleys, Resets, Speed Ups",Routine 3: Resets & Transitions,Program B: Core Development
Defensive Lob from NVZ,Intermediate,2.5–4.0,8–10,10 lobs,"Lobs, Defensive Saves",Routine 4: Lobs & Smashes,Program B: Core Development
Offensive Topspin Lob,Advanced,4.0–6.5,8–10,10 lobs,"Lobs, Spin Control, Disguise",Routine 4: Lobs & Smashes,Program B: Core Development
Overhead Smash Basics,Novice,2.0–3.0,5–10,20 smashes,"Smashes, Positioning",Routine 4: Lobs & Smashes,Program B: Core Development
Smash + Recovery,Intermediate,3.5–5.0,10,15 smashes,"Smashes, Footwork",Routine 4: Lobs & Smashes,Program B: Core Development
Spin Serves,Intermediate,3.5–5.0,10,20 spin serves,"Serves, Spin Control",Routine 5: Serves & 3rd Shots,Program C: Competitive Edge
Serve + 3rd Shot Combo,Advanced,4.0–6.0,10,10 sequences,"Serves, 3rd Shot, Drops",Routine 5: Serves & 3rd Shots,Program C: Competitive Edge
Drop Consistency,Intermediate,3.0–4.0,10,20 drops,"Drops, 3rd Shot",Routine 5: Serves & 3rd Shots,Program C: Competitive Edge
Punch Volley Targets,Intermediate,4.0–5.0,10,15 volleys,"Volleys, Putaways",Routine 5: Serves & 3rd Shots,Program C: Competitive Edge
